# Super Mario Bros. World 1-1 - extracted from the original level scene
# T <x> <y> <layer> <sprite>
T 111 5 1 SceneryTileSprites_15
T 112 5 1 SceneryTileSprites_15
T 113 5 1 SceneryTileSprites_16
T 138 5 1 SceneryTileSprites_14
T 139 5 1 SceneryTileSprites_15
T 140 5 1 SceneryTileSprites_16
T 157 5 1 SceneryTileSprites_14
T 158 5 1 SceneryTileSprites_15
T 159 5 1 SceneryTileSprites_15
T 160 5 1 SceneryTileSprites_15
T 161 5 1 SceneryTileSprites_16
T 186 5 1 SceneryTileSprites_14
T 187 5 1 SceneryTileSprites_15
T 188 5 1 SceneryTileSprites_16
T 205 5 1 SceneryTileSprites_14
T 206 5 1 SceneryTileSprites_15
T 207 5 1 SceneryTileSprites_15
T 208 5 1 SceneryTileSprites_15
T 209 5 1 SceneryTileSprites_16
T -6 6 1 SceneryTileSprites_3
T -5 6 1 SceneryTileSprites_4
T -4 6 1 SceneryTileSprites_5
T 5 6 1 SceneryTileSprites_14
T 6 6 1 SceneryTileSprites_15
T 7 6 1 SceneryTileSprites_16
T 13 6 1 SceneryTileSprites_3
T 14 6 1 SceneryTileSprites_4
T 15 6 1 SceneryTileSprites_4
T 16 6 1 SceneryTileSprites_4
T 17 6 1 SceneryTileSprites_5
T 22 6 1 SceneryTileSprites_14
T 23 6 1 SceneryTileSprites_15
T 24 6 1 SceneryTileSprites_15
T 25 6 1 SceneryTileSprites_16
T 42 6 1 SceneryTileSprites_3
T 43 6 1 SceneryTileSprites_4
T 44 6 1 SceneryTileSprites_5
T 53 6 1 SceneryTileSprites_14
T 54 6 1 SceneryTileSprites_15
T 55 6 1 SceneryTileSprites_16
T 61 6 1 SceneryTileSprites_3
T 62 6 1 SceneryTileSprites_4
T 63 6 1 SceneryTileSprites_4
T 64 6 1 SceneryTileSprites_4
T 65 6 1 SceneryTileSprites_5
T 70 6 1 SceneryTileSprites_14
T 71 6 1 SceneryTileSprites_15
T 72 6 1 SceneryTileSprites_15
T 73 6 1 SceneryTileSprites_16
T 90 6 1 SceneryTileSprites_3
T 91 6 1 SceneryTileSprites_4
T 92 6 1 SceneryTileSprites_5
T 101 6 1 SceneryTileSprites_14
T 102 6 1 SceneryTileSprites_15
T 103 6 1 SceneryTileSprites_16
T 109 6 1 SceneryTileSprites_3
T 110 6 1 SceneryTileSprites_4
T 111 6 1 SceneryTileSprites_4
T 112 6 1 SceneryTileSprites_4
T 113 6 1 SceneryTileSprites_5
T 118 6 1 SceneryTileSprites_14
T 119 6 1 SceneryTileSprites_15
T 120 6 1 SceneryTileSprites_15
T 121 6 1 SceneryTileSprites_16
T 138 6 1 SceneryTileSprites_3
T 139 6 1 SceneryTileSprites_4
T 140 6 1 SceneryTileSprites_5
T 149 6 1 SceneryTileSprites_14
T 150 6 1 SceneryTileSprites_15
T 151 6 1 SceneryTileSprites_16
T 157 6 1 SceneryTileSprites_3
T 158 6 1 SceneryTileSprites_4
T 159 6 1 SceneryTileSprites_4
T 160 6 1 SceneryTileSprites_4
T 161 6 1 SceneryTileSprites_5
T 166 6 1 SceneryTileSprites_14
T 167 6 1 SceneryTileSprites_15
T 168 6 1 SceneryTileSprites_15
T 169 6 1 SceneryTileSprites_16
T 186 6 1 SceneryTileSprites_3
T 187 6 1 SceneryTileSprites_4
T 188 6 1 SceneryTileSprites_5
T 197 6 1 SceneryTileSprites_14
T 198 6 1 SceneryTileSprites_15
T 199 6 1 SceneryTileSprites_16
T 205 6 1 SceneryTileSprites_3
T 206 6 1 SceneryTileSprites_4
T 207 6 1 SceneryTileSprites_4
T 208 6 1 SceneryTileSprites_4
T 209 6 1 SceneryTileSprites_5
T 5 7 1 SceneryTileSprites_3
T 6 7 1 SceneryTileSprites_4
T 7 7 1 SceneryTileSprites_5
T 22 7 1 SceneryTileSprites_3
T 23 7 1 SceneryTileSprites_4
T 24 7 1 SceneryTileSprites_4
T 25 7 1 SceneryTileSprites_5
T 53 7 1 SceneryTileSprites_3
T 54 7 1 SceneryTileSprites_4
T 55 7 1 SceneryTileSprites_5
T 70 7 1 SceneryTileSprites_3
T 71 7 1 SceneryTileSprites_4
T 72 7 1 SceneryTileSprites_4
T 73 7 1 SceneryTileSprites_5
T 101 7 1 SceneryTileSprites_3
T 102 7 1 SceneryTileSprites_4
T 103 7 1 SceneryTileSprites_5
T 118 7 1 SceneryTileSprites_3
T 119 7 1 SceneryTileSprites_4
T 120 7 1 SceneryTileSprites_4
T 121 7 1 SceneryTileSprites_5
T 149 7 1 SceneryTileSprites_3
T 150 7 1 SceneryTileSprites_4
T 151 7 1 SceneryTileSprites_5
T 166 7 1 SceneryTileSprites_3
T 167 7 1 SceneryTileSprites_4
T 168 7 1 SceneryTileSprites_4
T 169 7 1 SceneryTileSprites_5
T 197 7 1 SceneryTileSprites_3
T 198 7 1 SceneryTileSprites_4
T 199 7 1 SceneryTileSprites_5
# ── E 行的类型/坐标依据：《原版1-1与1-2元素表》§1.2 / §2（出处 = SMB-clone 的 World 1-1.unity 行号）──
#   E(87.5,0.5)  BrickStarman   = §B2-1  原版 `Brown Brick Block- Starman.prefab`（World 1-1.unity:4633，world (96,3)）
#   E(80.5,0.5)  BrickMultiCoin = §B2-2  原版 `Brown Brick Block- MultiCoin.prefab`（:8945，world (89,3)）
#   E(50.5,1.5)  HiddenBoxOneUp = §B2-3  原版 `Hidden Question Block- Oneup`（:627 + :4930，world (59,4)）
#   E(93.5,-2.5) Koopa          = §B1-1  原版 `Green Koopa.prefab`（:3671，world (102,0.25)）
#   第 1 组方块（x=2 / x=6..10 / 高处 x=8）已按 §B-3 的 T 列左移 1 格（原版像素图 poster 列 16 与 20..24）
# E <x> <y> <prefab>
E 9.5 -2.5 Goomba
E 26.5 -2.5 Goomba
E 36.5 -2.5 Goomba
E 38.5 -2.5 Goomba
E 83.5 -2.5 Goomba
E 85.5 -2.5 Goomba
E 93.5 -2.5 Koopa
E 99.5 -2.5 Goomba
E 101.5 -2.5 Goomba
E 110.5 -2.5 Goomba
E 112.5 -2.5 Goomba
E 115.5 -2.5 Goomba
E 117.5 -2.5 Goomba
E 159.5 -2.5 Goomba
E 161.5 -2.5 Goomba
E 2.5 0.5 MysteryBox
E 6.5 0.5 Brick
E 7.5 0.5 MysteryBoxMushroom
E 8.5 0.5 Brick
E 9.5 0.5 MysteryBox
E 10.5 0.5 Brick
E 63.5 0.5 Brick
E 64.5 0.5 MysteryBoxMushroom
E 65.5 0.5 Brick
E 80.5 0.5 BrickMultiCoin
E 86.5 0.5 Brick
E 87.5 0.5 BrickStarman
E 92.5 0.5 MysteryBox
E 95.5 0.5 MysteryBox
E 98.5 0.5 MysteryBox
E 104.5 0.5 Brick
E 115.5 0.5 Brick
E 116.5 0.5 Brick
E 154.5 0.5 Brick
E 155.5 0.5 Brick
E 156.5 0.5 MysteryBox
E 157.5 0.5 Brick
E 50.5 1.5 HiddenBoxOneUp
E 8.5 4.5 MysteryBox
E 66.5 4.5 Brick
E 67.5 4.5 Brick
E 68.5 4.5 Brick
E 69.5 4.5 Brick
E 70.5 4.5 Brick
E 71.5 4.5 Brick
E 72.5 4.5 Brick
E 73.5 4.5 Brick
E 77.5 4.5 Brick
E 78.5 4.5 Brick
E 79.5 4.5 Brick
E 80.5 4.5 MysteryBox
E 95.5 4.5 MysteryBoxMushroom
E 107.5 4.5 Brick
E 108.5 4.5 Brick
E 109.5 4.5 Brick
E 114.5 4.5 Brick
E 115.5 4.5 MysteryBox
E 116.5 4.5 MysteryBox
E 117.5 4.5 Brick
E 66.5 5.5 Goomba
E 68.5 5.5 Goomba
